step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0.0,0.0,0.6,5.661618122523641e-06,-7.982668961655223e-06,0.5999973481101339,5.661618122523641e-06,-7.982668961655223e-06,-2.6518898660343737e-06,1.0139499168017993e-05
1,0.0043423927597796425,0.02985112874630444,0.6536179885135347,0.004344581009580358,0.029841967338125434,0.6536192727795541,2.1882498007158926e-06,-9.16140817900507e-06,1.2842660194190003e-06,9.506270363360621e-06
2,-0.06961403234374332,-0.027198296110377912,0.6691230858278646,-0.06960562498817276,-0.02720134580953988,0.6691261639103624,8.407355570561048e-06,-3.049699161969399e-06,3.07808249777608e-06,9.458270694554908e-06
3,-0.0986092553634066,0.04321031468005837,0.6605037927569251,-0.09859808591664436,0.043201790535603274,0.6605178785568847,1.1169446762243629e-05,-8.524144455096527e-06,1.408579995965109e-05,1.9895410027673573e-05
4,-0.09173235200739288,-0.04360213045492975,0.6267162585115343,-0.09174116613056102,-0.04360092766380711,0.6267101141649899,-8.814123168138233e-06,1.2027911226383803e-06,-6.1443465444455114e-06,1.0811497036305765e-05
5,-0.08372653017609488,-0.13547475407171616,0.5952962662919572,-0.08373591735639352,-0.1354713880743418,0.5952958043741274,-9.387180298636721e-06,3.3659973743549454e-06,-4.619178297637916e-07,9.98310875252451e-06
6,-0.05602657774215831,-0.1172230654819869,0.5162408127952731,-0.056034209705578486,-0.11722241362380065,0.5162475494048848,-7.631963420177967e-06,6.518581862485773e-07,6.736609611701638e-06,1.0200671242736174e-05
7,-0.07725165666092294,-0.09080698142444775,0.45170832353643336,-0.07726304042869386,-0.09081073286309571,0.4517203578162027,-1.1383767770919984e-05,-3.751438647961458e-06,1.2034279769312928e-05,1.6984915370932816e-05
8,-0.09637872496782737,-0.05593986541426088,0.43495743482112986,-0.09638595940579306,-0.055941700449837935,0.4349639857349701,-7.234437965686347e-06,-1.835035577053834e-06,6.550913840219774e-06,9.930705936155813e-06
9,-0.08656729933778944,-0.0659211641404252,0.43874127557086967,-0.08657448014697544,-0.06592340519996936,0.4387477237104502,-7.180809186005388e-06,-2.241059544161317e-06,6.4481395805060515e-06,9.907818755709283e-06
10,-0.029443997668066227,-0.10266434103430339,0.4576572723717399,-0.029450863236980426,-0.1026690052404242,0.457662686615465,-6.865568914198733e-06,-4.6642061208163055e-06,5.414243725077039e-06,9.909838059605634e-06
11,0.05900733227786098,-0.08389918225302356,0.46482715859910123,0.05899592336103896,-0.08389537307856632,0.46482733649085745,-1.1408916822018556e-05,3.8091744572477104e-06,1.7789175621452102e-07,1.2029332424304161e-05
12,0.25,0.0,0.6,0.3880119136209311,0.010188824731254063,0.5640518538258428,0.13801191362093113,0.010188824731254063,-0.0359481461741572,0.14298031215546475
