step,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_mag
0,0.0,0.0,0.6,5.661618122523641e-06,-7.982668961655223e-06,0.5999973481101339,5.661618122523641e-06,-7.982668961655223e-06,-2.6518898660343737e-06,1.0139499168017993e-05
1,0.005,0.0,0.6,0.004993463542323962,6.003544499952316e-06,0.6000031014065556,-6.536457676038256e-06,6.003544499952316e-06,3.101406555572339e-06,9.401412028865355e-06
2,0.01,0.0,0.6,0.009993282854583311,5.578538108769903e-06,0.6000034246599483,-6.717145416688941e-06,5.578538108769903e-06,3.42465994829233e-06,9.3791484550241e-06
3,0.015,0.0,0.6,0.01499302554549353,5.0485295409739244e-06,0.6000037361755681,-6.9744545064687885e-06,5.0485295409739244e-06,3.7361755681475373e-06,9.385609946344018e-06
4,0.02,0.0,0.6,0.01999278988976868,4.546153151107067e-06,0.6000040490641331,-7.2101102313211485e-06,4.546153151107067e-06,4.049064133093694e-06,9.436531056221265e-06
5,0.025,0.0,0.6,0.024992656629390295,4.149007769644379e-06,0.6000043525309606,-7.343370609706051e-06,4.149007769644379e-06,4.352530960649581e-06,9.491252980901796e-06
6,0.03,0.0,0.6,0.029992685106125117,3.899084042338886e-06,0.6000046222873963,-7.314893874881684e-06,3.899084042338886e-06,4.62228739628312e-06,9.490841350683357e-06
7,0.035,0.0,0.6,0.03499325806430644,4.252336673558815e-06,0.600004854613567,-6.741935693561907e-06,4.252336673558815e-06,4.854613567029098e-06,9.332916852013645e-06
8,0.04,0.0,0.6,0.039993397345833015,4.27962901093202e-06,0.6000050972669421,-6.602654166985855e-06,4.27962901093202e-06,5.097266942089007e-06,9.375094495467236e-06
9,0.045,0.0,0.6,0.04499357990241617,4.414134046585708e-06,0.6000053271395452,-6.420097583829942e-06,4.414134046585708e-06,5.327139545263648e-06,9.438254505036298e-06
10,0.05,0.0,0.6,0.049993748576356314,4.6201776306049575e-06,0.6000055657945537,-6.2514236436883586e-06,4.6201776306049575e-06,5.565794553685777e-06,9.560565251335642e-06
11,0.055,0.0,0.6,0.05499403980745533,4.7885065392914955e-06,0.6000056958311859,-5.960192544667009e-06,4.7885065392914955e-06,5.695831185925648e-06,9.533948969073873e-06
12,0.06,0.0,0.6,0.059994282825092775,4.951130870570354e-06,0.6000058293279842,-5.717174907222955e-06,4.951130870570354e-06,5.829327984208099e-06,9.54886645444192e-06
13,0.065,0.0,0.6,0.06499450362448864,5.076158138970448e-06,0.6000059433720742,-5.496375511365725e-06,5.076158138970448e-06,5.943372074268538e-06,9.555165975898685e-06
14,0.07,0.0,0.6,0.06999461180356321,5.283629695135384e-06,0.6000060790704076,-5.388196436792447e-06,5.283629695135384e-06,6.079070407616349e-06,9.690433458702251e-06
15,0.075,0.0,0.6,0.07499475436761144,5.343123599316558e-06,0.6000061893782784,-5.245632388559129e-06,5.343123599316558e-06,6.189378278453894e-06,9.714629814216854e-06
16,0.08,0.0,0.6,0.0799949390223574,5.307509687677612e-06,0.6000062155867226,-5.060977642606934e-06,5.307509687677612e-06,6.215586722646549e-06,9.613359043045204e-06
17,0.085,0.0,0.6,0.08499497248607232,5.33082539374777e-06,0.6000063673089355,-5.0275139276828584e-06,5.33082539374777e-06,6.3673089355509305e-06,9.70753412316526e-06
18,0.09,0.0,0.6,0.08999508027289535,5.253399356803861e-06,0.6000064053362453,-4.9197271046463875e-06,5.253399356803861e-06,6.405336245296489e-06,9.634845717579937e-06
19,0.095,0.0,0.6,0.09616445309256787,0.001261924393854026,0.6040337761500844,0.0011644530925678659,0.001261924393854026,0.004033776150084378,0.004384034010997664
20,0.1,0.0,0.6,0.10066421196379483,0.0006775364394102582,0.6021863985451854,0.0006642119637948196,0.0006775364394102582,0.0021863985451854306,0.002383395006700708
21,0.105,0.0,0.6,0.10511617600681131,0.00021438554897843713,0.6003136343309013,0.00011617600681131102,0.00021438554897843713,0.00031363433090136894,0.00039727134516518684
22,0.11,0.0,0.6,0.10999430687888623,4.284390965173026e-06,0.6000065297211897,-5.693121113772848e-06,4.284390965173026e-06,6.529721189751925e-06,9.66462067411017e-06
23,0.115,0.0,0.6,0.11499471580278367,4.394840602352303e-06,0.6000065715345957,-5.284197216334774e-06,4.394840602352303e-06,6.571534595711803e-06,9.509070989525823e-06
24,0.12,0.0,0.6,0.11999455264940678,5.463971030381039e-06,0.6000065301844261,-5.447350593212885e-06,5.463971030381039e-06,6.530184426090102e-06,1.0108012492323589e-05
25,0.125,0.0,0.6,0.12499452567270515,5.312858012878135e-06,0.6000065137142581,-5.474327294849313e-06,5.312858012878135e-06,6.513714258082892e-06,1.0031111256091619e-05
26,0.13,0.0,0.6,0.1299945187726382,5.144156645037652e-06,0.6000064414478753,-5.48122736179768e-06,5.144156645037652e-06,6.4414478753160864e-06,9.899416735889986e-06
27,0.135,0.0,0.6,0.13499438824057633,5.0618267441318305e-06,0.6000064934412644,-5.611759423679308e-06,5.0618267441318305e-06,6.493441264465716e-06,9.963870396182796e-06
28,0.14,0.0,0.6,0.13999427358007674,4.968331848749484e-06,0.6000064928181289,-5.726419923274273e-06,4.968331848749484e-06,6.492818128922551e-06,9.981627810744916e-06
